Country code;Life expectancy
AF;50.9
EG;73.7
AX;0
AL;78.1
DZ;76.6
AS;75.1
AD;82.7
AO;55.6
AI;81.3
AQ;0
AG;76.3
GQ;63.9
AR;77.7
AM;74.4
AW;76.6
AZ;72.2
ET;61.5
AU;82.2
BS;72.2
BH;78.7
BD;70.9
BB;75.2
BY;72.5
BE;80.9
BZ;68.6
BJ;61.5
BM;81.2
BT;69.5
BO;68.9
BA;76.5
BW;54.2
BV;0
BR;73.5
IO;0
BN;77
BG;74.4
BF;55.1
BI;60.1
CL;78.6
CN;75.4
CK;75.6
CR;78.4
CW;78
DK;79.2
CD;56.9
DE;80.6
DM;76.8
DO;78
DJ;62.8
EC;76.6
SV;74.4
CI;58.3
ER;63.8
EE;76.5
FK;0
FO;80.2
FJ;72.4
FI;80.8
FR;81.8
GF;76.1
PF;77
TF;0
GA;52
GM;64.6
GE;76
GH;66.2
GI;79.3
GD;74
GR;80.4
GL;72.1
GP;77
GU;79
GT;72
GG;82.5
GN;60.1
GW;50.2
GY;68.1
HT;63.5
HM;0
HN;71
HK;82.9
IN;68.1
ID;72.5
IM;81.1
IQ;74.8
IR;71.2
IE;80.7
IS;83
IL;82.3
IT;82.1
JM;73.5
JP;84.7
YE;65.2
JE;81.8
JO;74.3
VG;78.5
VI;79.9
KY;81.1
KH;64.1
CM;57.9
CA;81.8
CV;71.8
KZ;70.5
QA;78.6
KE;63.8
KG;70.4
KI;65.8
CC;0
CO;75.5
KM;63.9
CG;58.8
XK;69
HR;76.6
CU;78.4
KW;77.8
LA;63.9
LS;52.9
LV;74.2
LB;77.4
LR;58.6
LY;76.3
LI;81.8
LT;74.7
LU;82.2
MO;84.5
MG;65.5
MW;60.7
MY;74.8
MV;75.4
ML;55.3
MT;80.2
MA;76.7
MH;72.8
MQ;78.3
MR;62.6
MU;75.4
YT;62.9
MK;76
MX;75.7
FM;72.6
MD;70.4
MC;89.5
MN;69.3
ME;0
MS;74.1
MZ;52.9
MM;66.3
NA;51.6
NR;66.8
NP;67.5
NC;77.5
NZ;81
NI;73
NL;81.2
AN;76.7
NE;55.1
NG;53
NU;0
KP;70.1
MP;77.8
NF;0
NO;81.7
OM;75.2
AT;81.4
TL;67.7
PK;67.4
PS;75.7
PW;72.9
PA;78.5
PG;67
PY;77
PE;73.5
PH;69
PN;0
PL;77.4
PT;79.2
PR;79.2
RE;72.7
RW;59.7
RO;74.9
RU;70.5
SB;75.1
ZM;52.1
WS;73.5
SM;83.2
BL;0
ST;64.6
SA;75
SE;82
CH;82.5
SN;61.3
RS;75.3
SC;74.5
SL;57.8
ZW;57
SG;84.7
SX;77.6
SK;76.9
SI;78
SO;52
ES;81.6
LK;76.6
SH;79.4
KN;75.5
LC;77.6
PM;80.4
VC;75.1
ZA;62.3
SD;63.7
GS;0
KR;80
SS;0
SR;72
SJ;0
SZ;51
SY;74.7
TJ;67.4
TW;80
TZ;61.7
TH;74.4
TG;64.5
TK;0
TO;76
TT;72.6
TD;49.8
CZ;78.5
TN;75.9
TR;74.6
TM;69.8
TC;79.7
TV;66.2
UG;54.9
UA;71.6
HU;75.7
UY;77
UZ;73.5
VU;73.1
VA;0
VE;74.5
AE;77.3
US;79.7
GB;80.5
VN;73.2
WF;79.6
CX;0
EH;62.6
CF;51.8
CY;78.5
